2021-02-24 10:22:10,948  root       WARNING Missing value for [encoding] in config, return default value None
2021-02-24 10:22:10,948  root       WARNING Missing value for [delete_on_start] in config, return default value False
2021-02-24 10:22:10,948  root       WARNING Missing value for [triggers_storage] in config, return default value None
2021-02-24 10:22:10,948  root       WARNING Missing value for [oobs_storage] in config, return default value None
2021-02-24 10:22:10,948  root       WARNING Missing value for [services_storage] in config, return default value None
2021-02-24 10:22:10,948  root       WARNING Missing value for [renderer] in config, return default value None
2021-02-24 10:22:10,948  root       WARNING 'email' section missing from bot config, using defaults
2021-02-24 10:22:10,948  root       WARNING 'triggers' section missing from client config, using defaults
2021-02-24 10:22:10,948  root       WARNING 'responder' section missing from client config, using defaults
2021-02-24 10:22:10,948  root       WARNING Missing value for [tab_parse_output] in config, return default value True
2021-02-24 10:22:10,949  root       WARNING Missing value for [alphabet] in config, return default value None
2021-02-24 10:22:10,949  root       WARNING Missing value for [max_histories] in config, return default value 100
2021-02-24 10:22:10,949  root       WARNING Missing value for [initial_topic] in config, return default value *
2021-02-24 10:22:10,949  root       WARNING Missing value for [restore_last_topic] in config, return default value False
2021-02-24 10:22:10,949  root       WARNING Missing value for [empty_on_start] in config, return default value False
2021-02-24 10:22:10,949  root       WARNING Missing value for [multi_client] in config, return default value False
2021-02-24 10:22:10,949  root       WARNING 'splitter' section missing from bot config, using defaults
2021-02-24 10:22:10,949  root       WARNING 'joiner' section missing from bot config, using defaults
2021-02-24 10:22:10,949  root       WARNING 'translation' section missing from bot config, using defaults
2021-02-24 10:22:10,949  root       WARNING 'translation' section missing from bot config, using defaults
2021-02-24 10:22:10,949  root       WARNING 'sentiment' section missing from bot config, using defaults
2021-02-24 10:22:10,949  root       WARNING Missing value for [save_as_user] in config, return default value system
2021-02-24 10:22:10,949  root       WARNING Missing value for [port] in config, return None
2021-02-24 10:22:10,949  root       WARNING Missing value for [url] in config, return default value None
2021-02-24 10:22:10,950  root       WARNING Missing value for [method] in config, return default value None
2021-02-24 10:22:10,950  root       WARNING Missing value for [host] in config, return default value None
2021-02-24 10:22:10,950  root       WARNING Missing value for [port] in config, return None
2021-02-24 10:22:10,950  root       WARNING Missing value for [method] in config, return default value None
2021-02-24 10:22:10,950  root       WARNING Missing value for [host] in config, return default value None
2021-02-24 10:22:10,950  root       WARNING Missing value for [port] in config, return None
2021-02-24 10:22:10,950  root       WARNING Missing value for [method] in config, return default value None
2021-02-24 10:22:10,950  root       WARNING Missing value for [host] in config, return default value None
2021-02-24 10:22:10,950  root       WARNING Missing value for [port] in config, return None
2021-02-24 10:22:10,950  root       WARNING Missing value for [url] in config, return default value None
2021-02-24 10:22:10,950  root       WARNING Missing value for [method] in config, return default value None
2021-02-24 10:22:10,950  root       WARNING Missing value for [host] in config, return default value None
2021-02-24 10:22:10,950  root       WARNING Missing value for [port] in config, return None
2021-02-24 10:22:10,950  root       WARNING Config section [openchatbots] missing from Brain, no openchatbots loaded
2021-02-24 10:22:10,951  root       WARNING Missing value for [denied_text] in config, return default value Access denied!
2021-02-24 10:22:10,951  root       WARNING Missing value for [denied_text] in config, return default value Access denied!
2021-02-24 10:22:10,951  root       WARNING 'security' section missing from bot config, using to defaults
2021-02-24 10:22:10,951  root       WARNING 'tokenizer' section missing from bot config, using defaults
2021-02-24 10:22:10,951  root       WARNING Missing value for [save_errors] in config, return default value False
2021-02-24 10:22:10,951  root       WARNING Missing value for [save_duplicates] in config, return default value False
2021-02-24 10:22:10,951  root       WARNING Missing value for [brain_selector] in config, return default value None
2021-02-24 10:22:10,951  root       WARNING Missing value for [bot_selector] in config, return default value programy.clients.botfactory.DefaultBotSelector
2021-02-24 10:22:10,951  root       DEBUG   Loading Storage Factory
2021-02-24 10:22:10,951  root       DEBUG   Loading nodes from file [..\..\storage/nodes/pattern_nodes.conf]
2021-02-24 10:22:10,952  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.root.PatternRootNode]
2021-02-24 10:22:10,952  root       DEBUG   Processor path [programy.parser.pattern.nodes.root.PatternRootNode]
2021-02-24 10:22:10,952  root       DEBUG   Importing module [programy.parser.pattern.nodes.root]
2021-02-24 10:22:10,954  root       DEBUG   Instantiating class [PatternRootNode]
2021-02-24 10:22:10,954  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.word.PatternWordNode]
2021-02-24 10:22:10,954  root       DEBUG   Processor path [programy.parser.pattern.nodes.word.PatternWordNode]
2021-02-24 10:22:10,954  root       DEBUG   Importing module [programy.parser.pattern.nodes.word]
2021-02-24 10:22:10,956  root       DEBUG   Instantiating class [PatternWordNode]
2021-02-24 10:22:10,956  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.priority.PatternPriorityWordNode]
2021-02-24 10:22:10,956  root       DEBUG   Processor path [programy.parser.pattern.nodes.priority.PatternPriorityWordNode]
2021-02-24 10:22:10,956  root       DEBUG   Importing module [programy.parser.pattern.nodes.priority]
2021-02-24 10:22:10,957  root       DEBUG   Instantiating class [PatternPriorityWordNode]
2021-02-24 10:22:10,957  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.oneormore.PatternOneOrMoreWildCardNode]
2021-02-24 10:22:10,957  root       DEBUG   Processor path [programy.parser.pattern.nodes.oneormore.PatternOneOrMoreWildCardNode]
2021-02-24 10:22:10,957  root       DEBUG   Importing module [programy.parser.pattern.nodes.oneormore]
2021-02-24 10:22:10,957  root       DEBUG   Instantiating class [PatternOneOrMoreWildCardNode]
2021-02-24 10:22:10,957  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.topic.PatternTopicNode]
2021-02-24 10:22:10,957  root       DEBUG   Processor path [programy.parser.pattern.nodes.topic.PatternTopicNode]
2021-02-24 10:22:10,957  root       DEBUG   Importing module [programy.parser.pattern.nodes.topic]
2021-02-24 10:22:10,957  root       DEBUG   Instantiating class [PatternTopicNode]
2021-02-24 10:22:10,958  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.that.PatternThatNode]
2021-02-24 10:22:10,958  root       DEBUG   Processor path [programy.parser.pattern.nodes.that.PatternThatNode]
2021-02-24 10:22:10,958  root       DEBUG   Importing module [programy.parser.pattern.nodes.that]
2021-02-24 10:22:10,958  root       DEBUG   Instantiating class [PatternThatNode]
2021-02-24 10:22:10,958  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.template.PatternTemplateNode]
2021-02-24 10:22:10,958  root       DEBUG   Processor path [programy.parser.pattern.nodes.template.PatternTemplateNode]
2021-02-24 10:22:10,958  root       DEBUG   Importing module [programy.parser.pattern.nodes.template]
2021-02-24 10:22:10,958  root       DEBUG   Instantiating class [PatternTemplateNode]
2021-02-24 10:22:10,958  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.zeroormore.PatternZeroOrMoreWildCardNode]
2021-02-24 10:22:10,958  root       DEBUG   Processor path [programy.parser.pattern.nodes.zeroormore.PatternZeroOrMoreWildCardNode]
2021-02-24 10:22:10,958  root       DEBUG   Importing module [programy.parser.pattern.nodes.zeroormore]
2021-02-24 10:22:10,958  root       DEBUG   Instantiating class [PatternZeroOrMoreWildCardNode]
2021-02-24 10:22:10,958  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.set.PatternSetNode]
2021-02-24 10:22:10,959  root       DEBUG   Processor path [programy.parser.pattern.nodes.set.PatternSetNode]
2021-02-24 10:22:10,959  root       DEBUG   Importing module [programy.parser.pattern.nodes.set]
2021-02-24 10:22:10,960  root       DEBUG   Instantiating class [PatternSetNode]
2021-02-24 10:22:10,960  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.bot.PatternBotNode]
2021-02-24 10:22:10,960  root       DEBUG   Processor path [programy.parser.pattern.nodes.bot.PatternBotNode]
2021-02-24 10:22:10,960  root       DEBUG   Importing module [programy.parser.pattern.nodes.bot]
2021-02-24 10:22:10,961  root       DEBUG   Instantiating class [PatternBotNode]
2021-02-24 10:22:10,961  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.iset.PatternISetNode]
2021-02-24 10:22:10,961  root       DEBUG   Processor path [programy.parser.pattern.nodes.iset.PatternISetNode]
2021-02-24 10:22:10,961  root       DEBUG   Importing module [programy.parser.pattern.nodes.iset]
2021-02-24 10:22:10,962  root       DEBUG   Instantiating class [PatternISetNode]
2021-02-24 10:22:10,962  root       DEBUG   Pre-instantiating Pattern Node [programy.parser.pattern.nodes.regex.PatternRegexNode]
2021-02-24 10:22:10,962  root       DEBUG   Processor path [programy.parser.pattern.nodes.regex.PatternRegexNode]
2021-02-24 10:22:10,962  root       DEBUG   Importing module [programy.parser.pattern.nodes.regex]
2021-02-24 10:22:10,964  root       DEBUG   Instantiating class [PatternRegexNode]
2021-02-24 10:22:10,964  root       DEBUG   Loading nodes from file [..\..\storage/nodes/template_nodes.conf]
2021-02-24 10:22:10,965  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.base.TemplateNode]
2021-02-24 10:22:10,965  root       DEBUG   Processor path [programy.parser.template.nodes.base.TemplateNode]
2021-02-24 10:22:10,965  root       DEBUG   Importing module [programy.parser.template.nodes.base]
2021-02-24 10:22:10,967  root       DEBUG   Instantiating class [TemplateNode]
2021-02-24 10:22:10,968  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.word.TemplateWordNode]
2021-02-24 10:22:10,968  root       DEBUG   Processor path [programy.parser.template.nodes.word.TemplateWordNode]
2021-02-24 10:22:10,968  root       DEBUG   Importing module [programy.parser.template.nodes.word]
2021-02-24 10:22:10,969  root       DEBUG   Instantiating class [TemplateWordNode]
2021-02-24 10:22:10,970  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.authorise.TemplateAuthoriseNode]
2021-02-24 10:22:10,970  root       DEBUG   Processor path [programy.parser.template.nodes.authorise.TemplateAuthoriseNode]
2021-02-24 10:22:10,970  root       DEBUG   Importing module [programy.parser.template.nodes.authorise]
2021-02-24 10:22:10,971  root       DEBUG   Instantiating class [TemplateAuthoriseNode]
2021-02-24 10:22:10,971  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.rand.TemplateRandomNode]
2021-02-24 10:22:10,971  root       DEBUG   Processor path [programy.parser.template.nodes.rand.TemplateRandomNode]
2021-02-24 10:22:10,971  root       DEBUG   Importing module [programy.parser.template.nodes.rand]
2021-02-24 10:22:10,973  root       DEBUG   Instantiating class [TemplateRandomNode]
2021-02-24 10:22:10,973  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.condition.TemplateConditionNode]
2021-02-24 10:22:10,973  root       DEBUG   Processor path [programy.parser.template.nodes.condition.TemplateConditionNode]
2021-02-24 10:22:10,973  root       DEBUG   Importing module [programy.parser.template.nodes.condition]
2021-02-24 10:22:10,977  root       DEBUG   Instantiating class [TemplateConditionNode]
2021-02-24 10:22:10,977  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.srai.TemplateSRAINode]
2021-02-24 10:22:10,977  root       DEBUG   Processor path [programy.parser.template.nodes.srai.TemplateSRAINode]
2021-02-24 10:22:10,977  root       DEBUG   Importing module [programy.parser.template.nodes.srai]
2021-02-24 10:22:10,978  root       DEBUG   Instantiating class [TemplateSRAINode]
2021-02-24 10:22:10,978  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.sraix.TemplateSRAIXNode]
